Run,Protein,Condition,Rep,Ext,File,Genome,Norm,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Cell_Line,chip_antibody,GEO_Accession (exp),SRA Study
SRR6213220,DDX10,control,R1,.fastq.gz,DDX10_control_R1_SRR6213220.fastq.gz,hg19,-,Chip-Seq,202,7110360206,PRJNA63443,SAMN07790976,MCF-7,,GSM2827234,SRP012412
SRR6213221,DDX10,control,R2,.fastq.gz,DDX10_control_R2_SRR6213221.fastq.gz,hg19,-,Chip-Seq,202,9626299496,PRJNA63443,SAMN07791056,MCF-7,,GSM2827235,SRP012412
SRR10096218,CTCF,control,R1,.fastq.gz,CTCF_control_R1_SRR10096218.fastq.gz,hg19,-,Chip-Seq,60,2025933540,PRJNA564822,SAMN12724114,MCF-7,custom mouse monoclonal CTCF (characterized in PMID:15731119),GSM4073243,SRP221275
SRR10096219,CTCF,control,R2,.fastq.gz,CTCF_control_R2_SRR10096219.fastq.gz,hg19,-,Chip-Seq,60,1957313280,PRJNA564822,SAMN12724113,MCF-7,custom mouse monoclonal CTCF (characterized in PMID:15731119),GSM4073244,SRP221275
SRR10096220,RAD21,control,R1,.fastq.gz,RAD21_control_R1_SRR10096220.fastq.gz,hg19,-,Chip-Seq,60,1964543460,PRJNA564822,SAMN12724112,MCF-7,RAD21 ABs Abcam (ab992),GSM4073245,SRP221275
SRR10096221,RAD21,control,R2,.fastq.gz,RAD21_control_R2_SRR10096221.fastq.gz,hg19,-,Chip-Seq,60,2062245540,PRJNA564822,SAMN12724111,MCF-7,RAD21 ABs Abcam (ab992),GSM4073246,SRP221275
SRR10096222,input,control,R1,.fastq.gz,input_control_R1_SRR10096222.fastq.gz,hg19,-,Chip-Seq,50,1363242500,PRJNA564822,SAMN12724110,MCF-7,,GSM4073247,SRP221275
SRR10096222,input,control,R2,.fastq.gz,input_control_R2_SRR10096222.fastq.gz,hg19,-,Chip-Seq,50,1363242500,PRJNA564822,SAMN12724110,MCF-7,,GSM4073247,SRP221275
SRR357488,RNAp2,control,R1,.fastq.gz,RNAp2_control_R1_SRR357488.fastq.gz,hg19,-,Chip-Seq,36,1090737288,PRJNA63443,SAMN00744164,MCF-7,,GSM822295,SRP009080
SRR357489,RNAp2,control,R2,.fastq.gz,RNAp2_control_R2_SRR357489.fastq.gz,hg19,-,Chip-Seq,36,1065758976,PRJNA63443,SAMN00744164,MCF-7,,GSM822295,SRP009080
SRR357466,input,control,R1,.fastq.gz,input_control_R1_SRR357466.fastq.gz,hg19,-,Chip-Seq,36,1080870120,PRJNA63443,SAMN00744152,MCF-7,,GSM822283,SRP009080
SRR357466,input,control,R2,.fastq.gz,input_control_R2_SRR357466.fastq.gz,hg19,-,Chip-Seq,36,1080870120,PRJNA63443,SAMN00744152,MCF-7,,GSM822283,SRP009080
