SampleID	Factor	Treatment	Condition	Replicate	bamReads	ControlID	bamControl	Peaks	PeakCaller	Tissue
NiPBL_siC_S4	NiPBL	siC	NiPBL_siC	1	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/NiPBL_siC_S4_final.bam	input_siC	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/input_siC_S9_final.bam	/storage/scratch01/users/aquevedo/snakemakeTest/res/macs/NiPBL_siC_S4_peaks.narrowPeak	narrow	NA
NiPBL_siNipbl_S8	NiPBL	siNipbl	NiPBL_siNipbl	1	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/NiPBL_siNipbl_S8_final.bam	input_siNipbl	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/input_siNipbl_S10_final.bam	/storage/scratch01/users/aquevedo/snakemakeTest/res/macs/NiPBL_siNipbl_S8_peaks.narrowPeak	narrow	NA
SA1_siC_S1	SA1	siC	SA1_siC	1	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/SA1_siC_S1_final.bam	input_siC	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/input_siC_S9_final.bam	/storage/scratch01/users/aquevedo/snakemakeTest/res/macs/SA1_siC_S1_peaks.narrowPeak	narrow	NA
SA1_siNipbl_S5	SA1	siNipbl	SA1_siNipbl	1	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/SA1_siNipbl_S5_final.bam	input_siNipbl	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/input_siNipbl_S10_final.bam	/storage/scratch01/users/aquevedo/snakemakeTest/res/macs/SA1_siNipbl_S5_peaks.narrowPeak	narrow	NA
SA2_siC_S11	SA2	siC	SA2_siC	1	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/SA2_siC_S11_final.bam	input_siC	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/input_siC_S9_final.bam	/storage/scratch01/users/aquevedo/snakemakeTest/res/macs/SA2_siC_S11_peaks.narrowPeak	narrow	NA
SA2_siC_S2	SA2	siC	SA2_siC	2	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/SA2_siC_S2_final.bam	input_siC	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/input_siC_S9_final.bam	/storage/scratch01/users/aquevedo/snakemakeTest/res/macs/SA2_siC_S2_peaks.narrowPeak	narrow	NA
SA2_siNipbl_S6	SA2	siNipbl	SA2_siNipbl	1	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/SA2_siNipbl_S6_final.bam	input_siNipbl	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/input_siNipbl_S10_final.bam	/storage/scratch01/users/aquevedo/snakemakeTest/res/macs/SA2_siNipbl_S6_peaks.narrowPeak	narrow	NA
SMC1_siC_S12	SMC1	siC	SMC1_siC	1	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/SMC1_siC_S12_final.bam	input_siC	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/input_siC_S9_final.bam	/storage/scratch01/users/aquevedo/snakemakeTest/res/macs/SMC1_siC_S12_peaks.narrowPeak	narrow	NA
SMC1_siC_S3	SMC1	siC	SMC1_siC	2	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/SMC1_siC_S3_final.bam	input_siC	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/input_siC_S9_final.bam	/storage/scratch01/users/aquevedo/snakemakeTest/res/macs/SMC1_siC_S3_peaks.narrowPeak	narrow	NA
SMC1_siNipbl_S7	SMC1	siNipbl	SMC1_siNipbl	1	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/SMC1_siNipbl_S7_final.bam	input_siNipbl	/storage/scratch01/users/aquevedo/snakemakeTest/data/align/input_siNipbl_S10_final.bam	/storage/scratch01/users/aquevedo/snakemakeTest/res/macs/SMC1_siNipbl_S7_peaks.narrowPeak	narrow	NA
