Cell_Line	Protein	Condition	Rep	File	Genome	Norm	Comments
A637	FLI1	24.2-SA2KO	R1	24-2-FLI1_S23_L001_R1_001.fastq.gz	hg19	mm9	Lane2
A637	FLI1	24.2-SA2KO	R1	24-2-FLI1_S23_L002_R1_001.fastq.gz	hg19	mm9	Lane2
A637	FLI1	24.2-SA2KO	R1	24-2-FLI1_S23_L003_R1_001.fastq.gz	hg19	mm9	Lane2
A637	FLI1	24.2-SA2KO	R1	24-2-FLI1_S23_L004_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3AC	24.2-SA2KO	R1	24-2-H3AC_S6_L001_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3AC	24.2-SA2KO	R1	24-2-H3AC_S6_L002_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3AC	24.2-SA2KO	R1	24-2-H3AC_S6_L003_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3AC	24.2-SA2KO	R1	24-2-H3AC_S6_L004_R1_001.fastq.gz	hg19	mm9	Lane2
A637	R1B	24.2-SA2KO	R1	24-2-R1B_S14_L001_R1_001.fastq.gz	hg19	mm9	Lane2
A637	R1B	24.2-SA2KO	R1	24-2-R1B_S14_L002_R1_001.fastq.gz	hg19	mm9	Lane2
A637	R1B	24.2-SA2KO	R1	24-2-R1B_S14_L003_R1_001.fastq.gz	hg19	mm9	Lane2
A637	R1B	24.2-SA2KO	R1	24-2-R1B_S14_L004_R1_001.fastq.gz	hg19	mm9	Lane2
A637	SMC1	24.2-SA2KO	R1	24-2-SMC1_S9_L001_R1_001.fastq.gz	hg19	mm9	Lane2
A637	SMC1	24.2-SA2KO	R1	24-2-SMC1_S9_L002_R1_001.fastq.gz	hg19	mm9	Lane2
A637	SMC1	24.2-SA2KO	R1	24-2-SMC1_S9_L003_R1_001.fastq.gz	hg19	mm9	Lane2
A637	SMC1	24.2-SA2KO	R1	24-2-SMC1_S9_L004_R1_001.fastq.gz	hg19	mm9	Lane2
A637	FLI1	2.C-WT	R1	2-FLI1_S15_L001_R1_001.fastq.gz	hg19	mm9	Lane2
A637	FLI1	2.C-WT	R1	2-FLI1_S15_L002_R1_001.fastq.gz	hg19	mm9	Lane2
A637	FLI1	2.C-WT	R1	2-FLI1_S15_L003_R1_001.fastq.gz	hg19	mm9	Lane2
A637	FLI1	2.C-WT	R1	2-FLI1_S15_L004_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3AC	2-WT	R1	2-H3AC_S4_L001_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3AC	2-WT	R1	2-H3AC_S4_L002_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3AC	2-WT	R1	2-H3AC_S4_L003_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3AC	2-WT	R1	2-H3AC_S4_L004_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3me3	2-WT	R1	2-H3me3_S10_L001_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3me3	2-WT	R1	2-H3me3_S10_L002_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3me3	2-WT	R1	2-H3me3_S10_L003_R1_001.fastq.gz	hg19	mm9	Lane2
A637	H3me3	2-WT	R1	2-H3me3_S10_L004_R1_001.fastq.gz	hg19	mm9	Lane2
A637	R1B	2.C-WT	R1	2-R1B_S12_L001_R1_001.fastq.gz	hg19	mm9	Lane2
A637	R1B	2.C-WT	R1	2-R1B_S12_L002_R1_001.fastq.gz	hg19	mm9	Lane2
A637	R1B	2.C-WT	R1	2-R1B_S12_L003_R1_001.fastq.gz	hg19	mm9	Lane2
