Cell_Line	Protein	Condition	Rep	File	Genome	Norm	Comments
A673	SA2-KO	clon24.2	R1	ac-A673n24-2_S19_L001_R1_001.fastq.gz	hg19	-	
A674	SA2-KO	clon24.2	R1	ac-A673n24-2_S19_L002_R1_001.fastq.gz	hg19	-	
A675	SA2-KO	clon24.2	R1	ac-A673n24-2_S19_L003_R1_001.fastq.gz	hg19	-	
A676	SA2-KO	clon24.2	R1	ac-A673n24-2_S19_L004_R1_001.fastq.gz	hg19	-	
A677	WT	clon2	R1	ac-A673n2a_S18_L001_R1_001.fastq.gz	hg19	-	
A678	WT	clon2	R1	ac-A673n2a_S18_L002_R1_001.fastq.gz	hg19	-	
A679	WT	clon2	R1	ac-A673n2a_S18_L003_R1_001.fastq.gz	hg19	-	
A680	WT	clon2	R1	ac-A673n2a_S18_L004_R1_001.fastq.gz	hg19	-	
A681	WT	clon24.2	R2	ac-A673n2b_S21_L001_R1_001.fastq.gz	hg19	-	
A682	WT	clon24.2	R2	ac-A673n2b_S21_L002_R1_001.fastq.gz	hg19	-	
A683	WT	clon24.2	R2	ac-A673n2b_S21_L003_R1_001.fastq.gz	hg19	-	
A684	WT	clon24.2	R2	ac-A673n2b_S21_L004_R1_001.fastq.gz	hg19	-	
A685	SA2-KO	clon5	R1	ac-A673n5_S20_L001_R1_001.fastq.gz	hg19	-	
A686	SA2-KO	clon5	R1	ac-A673n5_S20_L002_R1_001.fastq.gz	hg19	-	
A687	SA2-KO	clon5	R1	ac-A673n5_S20_L003_R1_001.fastq.gz	hg19	-	
A688	SA2-KO	clon5	R1	ac-A673n5_S20_L004_R1_001.fastq.gz	hg19	-	
A689	WT	parental-siC	R1	ac-A673siC1_S17_L001_R1_001.fastq.gz	hg19	-	
A690	WT	parental-siC	R1	ac-A673siC1_S17_L002_R1_001.fastq.gz	hg19	-	
A691	WT	parental-siC	R1	ac-A673siC1_S17_L003_R1_001.fastq.gz	hg19	-	
A692	WT	parental-siC	R1	ac-A673siC1_S17_L004_R1_001.fastq.gz	hg19	-	
