Cell_Line	Protein	Condition	Rep	File	Genome	Norm	Comments
A637	FLI1	5.A-SA2KO	R1	5-FLI1_S19_L001_R1_001.fastq.gz	hg19	mm9	
A637	FLI1	5.A-SA2KO	R1	5-FLI1_S19_L002_R1_001.fastq.gz	hg19	mm9	
A637	FLI1	5.A-SA2KO	R1	5-FLI1_S19_L003_R1_001.fastq.gz	hg19	mm9	
A637	FLI1	5.A-SA2KO	R1	5-FLI1_S19_L004_R1_001.fastq.gz	hg19	mm9	
A637	R1B	5.A-SA2KO	R1	5-R1B_S16_L001_R1_001.fastq.gz	hg19	mm9	
A637	R1B	5.A-SA2KO	R1	5-R1B_S16_L002_R1_001.fastq.gz	hg19	mm9	
A637	R1B	5.A-SA2KO	R1	5-R1B_S16_L003_R1_001.fastq.gz	hg19	mm9	
A637	R1B	5.A-SA2KO	R1	5-R1B_S16_L004_R1_001.fastq.gz	hg19	mm9	
A637	input	5.A-SA2KO	R1	INPUT-5KO-A_S2_L001_R1_001.fastq.gz	hg19	mm9	
A637	input	5.A-SA2KO	R1	INPUT-5KO-A_S2_L002_R1_001.fastq.gz	hg19	mm9	
A637	input	5.A-SA2KO	R1	INPUT-5KO-A_S2_L003_R1_001.fastq.gz	hg19	mm9	
A637	input	5.A-SA2KO	R1	INPUT-5KO-A_S2_L004_R1_001.fastq.gz	hg19	mm9	
A637	H3AC	5-SA2KO	R1	5-H3AC_S8_L001_R1_001.fastq.gz	hg19	mm9	
A637	H3AC	5-SA2KO	R1	5-H3AC_S8_L002_R1_001.fastq.gz	hg19	mm9	
A637	H3AC	5-SA2KO	R1	5-H3AC_S8_L003_R1_001.fastq.gz	hg19	mm9	
A637	H3AC	5-SA2KO	R1	5-H3AC_S8_L004_R1_001.fastq.gz	hg19	mm9	
A637	H3me3	5-SA2KO	R1	5-H3me3_S14_L001_R1_001.fastq.gz	hg19	mm9	
A637	H3me3	5-SA2KO	R1	5-H3me3_S14_L002_R1_001.fastq.gz	hg19	mm9	
