Run,Protein,Condition,Rep,ext,File,Input,source_name,chip_antibody,GEO_Accession (exp),LibrarySelection,Treatment,Bases,BioProject,BioSample,Bytes,Experiment,Genotype,,Instrument,LibraryLayout,,Organism,Sample Name,SRA Study,Strain,Tissue
SRR5168166,H3K4me3,WT-control,R1,.fastq.gz,H3K4me3_WT-control_R1_SRR5168166.fastq.gz,,H3K4me3_WT,"H3K4me3 (Diagenode\, C15410003-50)",GSM2453285,ChIP,none,1218566868,PRJNA360958,SAMN06217799,866321929,SRX2485046,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453285,SRP096571,C57BL/6J,liver
SRR5168167,H3K27ac,WT-control,R1,.fastq.gz,H3K27ac_WT-control_R1_SRR5168167.fastq.gz,,H3K27ac_WT,"H3K27ac (Abcam\, ab4729)",GSM2453286,ChIP,none,1098853089,PRJNA360958,SAMN06217798,790980649,SRX2485047,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453286,SRP096571,C57BL/6J,liver
SRR5168168,input,WT-control,R1,.fastq.gz,input_WT-control_R1_SRR5168168.fastq.gz,,Input_WT,none,GSM2453287,ChIP,none,1158642429,PRJNA360958,SAMN06217797,823413563,SRX2485048,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453287,SRP096571,C57BL/6J,liver
SRR5168170,H3K27ac,NIPBLflox-tamoxifen,R1,.fastq.gz,H3K27ac_NIPBLflox-tamoxifen_R1_SRR5168170.fastq.gz,,H3K27ac_NIPBL,"H3K27ac (Abcam\, ab4729)",GSM2453289,ChIP,tamoxifen,985456731,PRJNA360958,SAMN06217795,701838645,SRX2485050,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453289,SRP096571,C57BL/6J,liver
SRR5168171,input,NIPBLflox-tamoxifen,R1,.fastq.gz,input_NIPBLflox-tamoxifen_R1_SRR5168171.fastq.gz,,Input_NIPBL,none,GSM2453290,ChIP,tamoxifen,1056119271,PRJNA360958,SAMN06217794,748706605,SRX2485051,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453290,SRP096571,C57BL/6J,liver
SRR5928311,CTCF,WT-tamoxifen,R1,.fastq.gz,CTCF_WT-tamoxifen_R1_SRR5928311.fastq.gz,,Liver,CTCF (Millipore 07-729),GSM2740559,ChIP,tamoxifen,2312616110,PRJNA360958,SAMN07499440,929719697,SRX3088630,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,NextSeq 500,SINGLE,,Mus musculus,GSM2740559,SRP096571,C57BL/6J,liver
SRR5928312,CFCF,NIPBLflox-tamoxifen,R1,.fastq.gz,CFCF_NIPBLflox-tamoxifen_R1_SRR5928312.fastq.gz,,Liver,CTCF (Millipore 07-729),GSM2740560,ChIP,tamoxifen,3070855900,PRJNA360958,SAMN07499439,1175994003,SRX3088631,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,NextSeq 500,SINGLE,,Mus musculus,GSM2740560,SRP096571,C57BL/6J,liver
SRR5928313,Rad21,WT-tamoxifen,R1,.fastq.gz,Rad21_WT-tamoxifen_R1_SRR5928313.fastq.gz,,Liver,Rad21 (Abcam ab992),GSM2740561,ChIP,tamoxifen,3908947140,PRJNA360958,SAMN07499438,1483354219,SRX3088632,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,NextSeq 500,SINGLE,,Mus musculus,GSM2740561,SRP096571,C57BL/6J,liver
SRR5928315,Rad21,NIPBLflox-tamoxifen,R1,.fastq.gz,Rad21_NIPBLflox-tamoxifen_R1_SRR5928315.fastq.gz,,Liver,Rad21 (Abcam ab992),GSM2740562,ChIP,tamoxifen,3549329770,PRJNA360958,SAMN07499437,1368840990,SRX3088633,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,NextSeq 500,SINGLE,,Mus musculus,GSM2740562,SRP096571,C57BL/6J,liver
SRR5928316,Rad21,NIPBLflox-tamoxifen,R1,.fastq.gz,Rad21_NIPBLflox-tamoxifen_R1_SRR5928316.fastq.gz,,Liver,Rad21 (Abcam ab992),GSM2740562,ChIP,tamoxifen,3777108440,PRJNA360958,SAMN07499437,1564663757,SRX3088633,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,NextSeq 500,SINGLE,,Mus musculus,GSM2740562,SRP096571,C57BL/6J,liver
SRR5928318,Smc3,WT-tamoxifen,R1,.fastq.gz,Smc3_WT-tamoxifen_R1_SRR5928318.fastq.gz,,Liver,Smc3 (Abcam ab9263),GSM2740563,ChIP,tamoxifen,3667856220,PRJNA360958,SAMN07499436,1512789776,SRX3088634,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,NextSeq 500,SINGLE,,Mus musculus,GSM2740563,SRP096571,C57BL/6J,liver
